ra dec P dP A T0 V I J H K Jsigma Hsigma Ksigma quality T2mass
60.408417 -69.477917 1.1589986 3.7e-06 0.899 6000.35709 16.35 15.892 15.699 15.406 15.209 0.028 0.048 0.061 AAA 2451864.6955
69.652125 -71.971 3.3430823 4.7e-06 0.642 6001.6563 16.206 15.493 15.11 14.723 14.663 0.026 0.029 0.044 AAA 2451925.5611
68.881333 -69.734944 3.118149 1.09e-05 0.261 6000.34799 16.42 15.691 14.079 13.704 13.616 0.02 0.025 0.027 AAA 2451893.6862
68.881333 -69.734944 5.6119491 1.35e-05 0.508 6004.75854 15.425 14.651 14.079 13.704 13.616 0.02 0.025 0.027 AAA 2451893.6862
69.635542 -67.646333 10.5642749 0.0013884 0.143 6008.44688 14.878 13.777 12.839 12.321 12.171 0.019 0.023 0.022 AAA 2451893.7362
69.736792 -69.688417 3.6772904 6.1e-06 0.594 6001.21645 15.899 15.237 14.556 14.371 14.328 0.021 0.027 0.033 AAA 2451893.7705
69.74575 -68.956889 4.0478369 1.85e-05 0.247 6002.75795 15.994 15.181 14.546 14.298 14.228 0.02 0.027 0.03 AAA 2451893.7734
69.879083 -69.261833 5.4579579 1.7e-05 0.447 6002.24087 15.494 14.709 14.074 13.736 13.662 0.023 0.031 0.033 AAA 2451893.7722
69.453083 -67.214417 2.6601839 2.3e-06 0.691 6001.07578 16.075 15.474 14.807 14.662 14.594 0.023 0.031 0.042 AAA 2451893.7344
72.285292 -72.613472 1.7965763 3.9e-06 0.543 6000.9814 16.9 16.232 15.926 15.431 15.517 0.041 0.06 0.107 AAA 2451909.6111
72.285292 -72.613472 1.7405353 2.6e-06 0.385 6000.41442 17.053 16.345 15.926 15.431 15.517 0.041 0.06 0.107 AAA 2451909.6111
71.196 -70.230833 11.2552749 6.46e-05 0.488 6007.28824 14.673 13.751 14.752 14.408 14.351 0.024 0.029 0.038 AAA 2451942.594
71.196 -70.230833 2.5770257 3.7e-06 0.631 6002.33638 16.36 15.667 14.752 14.408 14.351 0.024 0.029 0.038 AAA 2451942.594
71.196 -70.230833 3.8491608 1.36e-05 0.229 6002.77336 16.192 15.316 14.752 14.408 14.351 0.024 0.029 0.038 AAA 2451942.594
71.196 -70.230833 3.6670371 2.3e-05 0.412 6002.3633 16.012 15.41 14.752 14.408 14.351 0.024 0.029 0.038 AAA 2451942.594
71.404958 -70.251028 3.4854335 4.4e-06 0.487 6003.23717 16.111 15.327 11.876 11.585 11.504 0.021 0.02 0.021 AAA 2451921.5982
71.404958 -70.251028 28.3738735 0.0003703 0.761 6005.00515 13.584 12.748 11.876 11.585 11.504 0.021 0.02 0.021 AAA 2451921.5982
71.662958 -70.266 3.4187485 2.9e-06 0.59 6003.10255 16.121 15.342 14.63 14.344 14.301 0.023 0.028 0.038 AAA 2451921.6346
71.662958 -70.266 7.3826504 2.24e-05 0.469 6001.86552 15.172 14.316 14.63 14.344 14.301 0.023 0.028 0.038 AAA 2451921.6346
72.210875 -70.248111 4.0004649 6.7e-06 0.679 6001.16894 15.867 15.132 15.088 14.691 14.516 0.02 0.022 0.038 AAA 2451903.6313
72.305708 -70.149944 3.2094086 3.8e-06 0.511 6002.83445 16.198 15.455 14.692 14.335 14.218 0.02 0.022 0.031 AAA 2451903.6309
72.190167 -70.005917 3.1095464 3.5e-06 0.484 6001.42476 16.175 15.434 14.778 14.5 14.373 0.02 0.025 0.038 AAA 2451903.6303
72.210875 -70.248111 3.2675038 8.4e-06 0.466 6001.97906 16.222 15.439 15.088 14.691 14.516 0.02 0.022 0.038 AAA 2451903.6313
72.305708 -70.149944 3.4150618 4.8e-06 0.473 6000.96001 16.116 15.353 14.692 14.335 14.218 0.02 0.022 0.031 AAA 2451903.6309
72.286833 -70.845056 3.8457511 6.5e-06 0.46 6000.28485 16.021 15.246 13.289 12.82 12.736 0.019 0.021 0.021 AAA 2451903.6337
72.286833 -70.845056 10.8023068 0.0015823 0.418 6005.72522 -99.99 14.074 13.289 12.82 12.736 0.019 0.021 0.021 AAA 2451903.6337
70.197833 -68.985667 1.7018187 3.4e-06 0.418 6000.6534 17.081 16.315 15.931 15.651 15.712 0.036 0.055 0.108 AAA 2451893.7995
70.226542 -69.115083 3.7334902 8.9e-06 0.368 6003.70986 16.131 15.338 14.642 14.329 14.262 0.022 0.027 0.039 AAA 2451893.8
70.197833 -68.985667 2.5706724 3.5e-06 0.619 6002.26494 16.094 15.497 15.931 15.651 15.712 0.036 0.055 0.108 AAA 2451893.7995
71.327625 -69.277389 1.2629537 9e-07 0.51 6000.35235 17.258 16.617 12.228 11.8 11.72 0.022 0.023 0.021 AAA 2451921.6021
70.226542 -69.115083 7.1807603 2.89e-05 0.496 6002.62615 15.216 14.386 14.642 14.329 14.262 0.022 0.027 0.039 AAA 2451893.8
70.658375 -68.516472 6.9435423 2.56e-05 0.403 6005.25522 15.154 14.376 14.915 14.597 14.531 0.029 0.038 0.054 AAA 2451917.5806
70.658375 -68.516472 3.06691 9.4e-06 0.273 6002.25863 16.294 15.512 14.915 14.597 14.531 0.029 0.038 0.054 AAA 2451917.5806
70.658375 -68.516472 3.1477882 7.5e-06 0.348 6002.07933 16.059 15.395 14.915 14.597 14.531 0.029 0.038 0.054 AAA 2451917.5806
71.327625 -69.277389 5.1651068 8.8e-06 0.577 6004.55294 15.413 14.67 12.228 11.8 11.72 0.022 0.023 0.021 AAA 2451921.6021
71.222292 -69.191583 8.8436041 5e-05 0.502 6006.17876 14.745 13.948 14.532 14.151 14.059 0.023 0.028 0.029 AAA 2451921.6025
71.327625 -69.277389 5.548214 1.32e-05 0.552 6002.79336 15.157 14.465 12.228 11.8 11.72 0.022 0.023 0.021 AAA 2451921.6021
71.327625 -69.277389 7.8454429 2.83e-05 0.467 6005.48757 15.021 14.195 12.228 11.8 11.72 0.022 0.023 0.021 AAA 2451921.6021
72.474042 -69.754556 2.6338747 2.3e-06 0.694 6001.37846 16.412 15.685 11.71 11.463 11.401 0.02 0.023 0.021 AAA 2451903.6553
71.37225 -69.147056 10.3067803 7.76e-05 0.318 6005.48867 14.799 13.886 14.889 14.488 14.411 0.022 0.027 0.034 AAA 2451921.6026
71.222292 -69.191583 4.3155685 5.8e-06 0.603 6001.56383 15.73 14.977 14.532 14.151 14.059 0.023 0.028 0.029 AAA 2451921.6025
71.636792 -68.749333 4.3903931 8.3e-06 0.472 6004.34899 15.815 15.011 15.117 14.785 14.695 0.025 0.031 0.042 AAA 2451921.6285
72.474042 -69.754556 3.4064849 7.2e-06 0.523 6000.57849 16.199 15.417 11.71 11.463 11.401 0.02 0.023 0.021 AAA 2451903.6553
71.327625 -69.277389 21.067711 0.0040892 -99.99 -99.99 13.63 -99.99 12.228 11.8 11.72 0.022 0.023 0.021 AAA 2451921.6021
71.37225 -69.147056 3.2291389 6.3e-06 0.545 6001.3027 15.987 15.295 14.889 14.488 14.411 0.022 0.027 0.034 AAA 2451921.6026
72.474042 -69.754556 13.7462846 7.94e-05 0.47 6011.02012 14.766 13.754 11.71 11.463 11.401 0.02 0.023 0.021 AAA 2451903.6553
71.636792 -68.749333 2.3366463 1.21e-05 0.29 6000.01759 16.253 15.565 15.117 14.785 14.695 0.025 0.031 0.042 AAA 2451921.6285
71.37225 -69.147056 5.1478925 2.25e-05 0.232 6000.45137 15.904 15.033 14.889 14.488 14.411 0.022 0.027 0.034 AAA 2451921.6026
71.778667 -69.294306 22.5437817 0.0002185 0.663 6001.56476 13.866 13.158 12.245 11.946 11.866 0.022 0.022 0.023 AAA 2451921.6307
72.474042 -69.754556 3.5902086 3.9e-06 0.636 6002.84126 15.955 15.213 11.71 11.463 11.401 0.02 0.023 0.021 AAA 2451903.6553
71.8795 -68.924639 4.6938588 1.72e-05 0.323 6003.3531 15.991 15.194 14.599 14.255 14.208 0.021 0.029 0.034 AAA 2451928.5698
72.00375 -69.320778 3.2127688 3.34e-05 0.321 6002.91601 -99.99 16.045 15.344 14.85 14.755 0.026 0.031 0.049 AAA 2451928.5714
72.337625 -67.87175 2.7749337 4.5e-06 0.456 6002.18484 16.159 15.476 16.245 15.81 16.0 0.032 0.043 0.117 AAB 2451903.6217
72.142625 -69.347278 8.1924377 0.0003007 0.042 6007.89956 15.778 14.692 13.873 13.412 13.286 0.02 0.023 0.024 AAA 2451903.6277
72.148375 -67.583333 7.157278 2.51e-05 0.396 6003.03526 14.675 13.988 13.49 13.169 13.114 0.022 0.023 0.022 AAA 2451903.6206
72.213958 -69.356333 8.7388601 4.2e-05 0.505 6001.45703 14.761 13.947 13.239 12.921 12.861 0.019 0.022 0.023 AAA 2451903.6277
72.233792 -68.901861 3.7476 1.28e-05 0.261 6000.26664 15.989 15.25 14.633 14.334 14.277 0.029 0.027 0.035 AAA 2451903.6259
72.235917 -68.953528 2.85337 3.4e-06 0.654 6001.90097 16.657 15.823 15.307 14.855 14.751 0.03 0.030 0.047 AAA 2451903.6261
72.267292 -69.300667 1.6128624 1.9e-06 0.622 6000.55044 16.97 16.284 15.913 15.605 15.411 0.03 0.042 0.083 AAA 2451903.6275
72.301917 -69.161028 10.371999 6.99e-05 0.355 6009.14841 14.592 13.792 13.11 12.725 12.638 0.019 0.022 0.022 AAA 2451903.6269
72.337625 -67.87175 1.2929953 1e-06 0.444 6000.35916 17.285 16.652 16.245 15.81 16.0 0.032 0.043 0.117 AAB 2451903.6217
72.343458 -69.1505 6.8885387 2.61e-05 0.482 6003.98626 15.94 14.904 14.281 13.784 13.626 0.021 0.024 0.027 AAA 2451903.6269
72.301917 -69.161028 3.4120477 2.92e-05 0.485 6003.40038 -99.99 16.557 13.11 12.725 12.638 0.019 0.022 0.022 AAA 2451903.6269
72.437667 -68.88 2.869498 8.3e-06 0.401 6001.84271 16.47 15.661 15.226 14.823 14.819 0.021 0.026 0.045 AAA 2451903.6588
