ra dec P dP A T0 V I J H K Jsigma Hsigma Ksigma quality T2mass
4.2e-05 -75.194917 2.0881698 1.4e-05 0.683 6001.93665 17.261 16.607 16.784 16.578 16.79 0.064 0.113 0.259 ABD 2451864.5224
4.2e-05 -75.194917 1.2309887 5.1e-06 0.617 6000.79396 17.811 17.261 16.784 16.578 16.79 0.064 0.113 0.259 ABD 2451864.5224
4.2e-05 -75.194917 1.0377563 9e-07 0.696 6000.97374 17.789 17.244 16.784 16.578 16.79 0.064 0.113 0.259 ABD 2451864.5224
3.802167 -74.004528 10.0924835 6.42e-05 0.557 6007.2022 14.829 14.144 16.273 15.999 15.803 0.06 0.093 0.117 AAB 2451865.6036
3.52075 -73.905111 1.4185637 2.9e-06 0.667 6000.05379 17.679 17.085 16.684 16.373 16.249 0.06 0.108 0.170 AAC 2451865.6032
3.802167 -74.004528 1.5739963 1.3e-06 0.64 6000.42736 17.384 16.808 16.273 15.999 15.803 0.06 0.093 0.117 AAB 2451865.6036
3.945 -73.932694 1.4093187 2.4e-06 0.375 6000.54253 17.748 17.074 16.547 16.25 16.532 0.056 0.097 0.234 AAD 2451865.6435
5.032792 -74.5485 1.1282584 1.1e-06 0.514 6000.95346 17.897 17.314 16.992 16.663 16.767 0.079 0.143 0.259 ABD 2451866.5481
5.484833 -73.915528 1.4847727 3.7e-06 0.243 6000.95008 17.77 17.12 16.569 16.358 16.1 0.053 0.099 0.145 AAB 2451866.5859
5.6685 -73.516833 1.3341989 1.47e-05 0.485 6000.74032 -99.99 17.145 15.371 15.137 15.078 0.025 0.039 0.059 AAA 2451866.5875
5.606667 -73.784306 1.6392327 1.7e-06 0.806 6001.48216 17.384 16.814 16.481 16.242 16.021 0.056 0.087 0.135 AAB 2451866.5864
5.622042 -73.904528 1.442611 1.2e-06 0.729 6000.73557 17.515 16.976 16.452 16.364 15.897 0.048 0.099 0.114 AAB 2451866.5859
5.62725 -73.1265 1.3935063 1e-06 0.67 6001.17566 17.592 16.946 16.5 16.262 16.155 0.047 0.088 0.145 AAC 2451866.5891
5.6685 -73.516833 2.9238729 6.6e-06 0.562 6000.94403 16.63 15.976 15.371 15.137 15.078 0.025 0.039 0.059 AAA 2451866.5875
5.704375 -73.840417 4.4165259 1.19e-05 0.498 6002.77234 16.201 15.491 15.061 14.665 14.575 0.022 0.03 0.039 AAA 2451866.5862
6.320333 -74.132639 1.8279108 2e-06 0.72 6000.03298 17.312 16.656 16.15 15.909 15.802 0.036 0.084 0.114 AAB 2451866.643
6.004792 -73.597944 4.8298084 2.31e-05 0.57 6000.13031 15.961 15.335 16.908 16.463 16.705 0.068 0.108 0.224 AAD 2451866.6022
5.6685 -73.516833 3.1148307 3.9e-06 0.737 6001.8936 16.292 15.694 15.371 15.137 15.078 0.025 0.039 0.059 AAA 2451866.5875
5.91725 -73.399111 1.2951188 4.4e-06 0.264 6000.84061 18.056 17.398 17.057 16.65 16.712 0.075 0.12 0.237 ABD 2451866.6014
5.920792 -73.763972 1.2256194 1e-06 0.745 6000.45364 17.789 17.216 16.599 16.546 16.225 0.053 0.11 0.162 ABC 2451866.6029
5.93325 -73.382333 1.3036176 9e-07 0.658 6000.72583 17.344 16.855 16.569 16.366 16.349 0.052 0.099 0.184 AAC 2451866.6013
6.004792 -73.597944 1.0925618 1.3e-06 0.728 6000.43328 17.848 17.301 16.908 16.463 16.705 0.068 0.108 0.224 AAD 2451866.6022
6.03 -73.940639 6.6913506 2.37e-05 0.445 6004.65805 15.672 14.92 14.465 14.033 13.938 0.022 0.026 0.027 AAA 2451866.6036
6.032667 -73.912639 1.5269121 1.5e-06 0.638 6001.02764 17.562 16.942 16.437 16.267 16.002 0.042 0.094 0.140 AAB 2451866.6035
6.043583 -73.442111 1.5432891 7e-07 0.808 6000.69306 -99.99 16.904 16.281 16.083 16.149 0.042 0.077 0.137 AAB 2451866.6016
6.084625 -73.92425 1.3378187 4.1e-06 0.24 6001.10485 17.875 17.231 16.812 16.339 16.289 0.064 0.099 0.174 AAC 2451866.6035
6.096667 -74.065167 1.5918392 2.07e-05 0.447 6000.86763 17.575 17.15 16.714 16.304 16.205 0.059 0.094 0.171 AAC 2451866.6041
6.140958 -73.04 1.4737791 1.2e-06 0.489 6000.79668 17.597 16.937 16.676 16.376 16.374 0.054 0.1 0.206 AAC 2451866.6
6.144042 -73.307611 2.8601644 3.1e-06 0.726 6001.1191 16.55 15.916 15.452 15.086 14.973 0.033 0.044 0.056 AAA 2451866.601
6.227917 -73.993944 3.3838318 6.9e-06 0.406 6000.71707 16.68 15.952 15.383 15.027 14.842 0.025 0.041 0.051 AAA 2451866.6435
6.247042 -73.35975 4.6739541 9.4e-06 0.565 6001.50305 16.033 15.341 14.766 14.52 14.417 0.02 0.032 0.035 AAA 2451866.6461
6.320333 -74.132639 1.910971 1.9e-06 0.662 6000.99405 17.22 16.583 16.15 15.909 15.802 0.036 0.084 0.114 AAB 2451866.643
6.32175 -74.065861 1.3904256 1.63e-05 0.911 6000.42615 17.373 16.985 16.375 16.169 15.802 0.053 0.095 0.121 AAB 2451866.6433
